"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","HHEXP","TOT","MLN_USD","A","2020",37168.4994286197,
"SVN","HHEXP","TOT","MLN_USD","A","2021",41417.5619324383,
"LVA","HHEXP","TOT","MLN_USD","A","2018",30678.0552956503,
"LVA","HHEXP","TOT","MLN_USD","A","2019",31898.9394974147,
"LVA","HHEXP","TOT","MLN_USD","A","2020",30187.6270677753,
"LVA","HHEXP","TOT","MLN_USD","A","2021",32882.1108243904,
"LTU","HHEXP","TOT","MLN_USD","A","2018",56366.9875224485,
"LTU","HHEXP","TOT","MLN_USD","A","2019",59534.8182875644,
"LTU","HHEXP","TOT","MLN_USD","A","2020",57131.9597553346,
"LTU","HHEXP","TOT","MLN_USD","A","2021",62314.5208630345,
